날짜,종목코드,외국인순매수,기관순매수,개인순매수
2018-01-02,000100,-48234500,-1780991500,1839859000
2018-01-02,000150,2083152000,-2893823500,809544500
2018-01-02,000270,2318385750,-12257908100,9988023850
2018-01-02,000660,13721122000,-25484908800,10866206400
2018-01-02,000720,769004800,9961402750,-10690380200
2018-01-02,000810,84070500,-2773921000,2690418000
2018-01-02,000990,-138320900,-350881550,489202450
2018-01-02,001450,1093853950,-1014311700,-39226000
2018-01-02,001570,9511615,-2445,-9509170
2018-01-02,002380,-489788000,580266000,-151425500
2018-01-02,002790,1134665500,365376000,-1509921000
2018-01-02,003550,70059700,-898350200,881192200
2018-01-02,003670,784684200,2654367350,-3860488100
2018-01-02,004020,1879853800,-11157339800,9070060100
2018-01-02,004170,-309832000,-1696975000,2029127000
2018-01-02,004990,1375657500,1070439700,-2353450600
2018-01-02,005380,-2903890500,-42943463000,45228462500
2018-01-02,005387,4146858700,-4004794200,-97864500
2018-01-02,005490,14425446000,-1295057500,-13092313000
2018-01-02,005830,400855300,-632401000,265607600
2018-01-02,005930,-46571208000,-59801412000,66587603000
2018-01-02,005935,-7810676000,-4931828000,6597607000
2018-01-02,006280,415092000,-450442000,-15394000
2018-01-02,006400,-3855532500,3400391500,588561500
2018-01-02,006800,963264350,1169202190,-2202029740
2018-01-02,007070,700851200,538549250,-1239400450
2018-01-02,008770,245056000,1324946400,-564843600
2018-01-02,008930,-244110000,-1412780500,1710430500
2018-01-02,009150,3472876800,-1551198000,-1908710300
2018-01-02,009830,-2493339250,7465497650,-5040055950
2018-01-02,010130,2265346000,2929047000,-5219120000
2018-01-02,010140,-4485726190,9579857480,-5267639210
2018-01-02,010950,2450573500,-3290189000,847565000
2018-01-02,011070,-116934000,-2660916000,2176308000
2018-01-02,011170,614096000,-9484948000,8791173000
2018-01-02,011200,124366808330,-133657941890,9040392370
2018-01-02,012330,4845525000,-17824509500,12950569500
2018-01-02,012450,1315785750,3401690550,-4713899100
2018-01-02,015760,-1949536750,-12323465050,14223668350
2018-01-02,017670,797638000,-3950716500,3394827000
2018-01-02,018260,-1980356000,-994035500,2973800000
2018-01-02,021240,422395700,-781475600,359079900
2018-01-02,024110,4167936100,-3590946850,-492257950
2018-01-02,028260,2228664000,-2043745500,-787524000
2018-01-02,029780,2361492350,-1892370800,-461260900
2018-01-02,030200,-57032050,-44302150,51329750
