날짜,종목코드,시가총액,상장주식수
2018-01-02,000100,2531499432000,11665896
2018-01-02,000150,2178973340500,19198003
2018-01-02,000270,13295917781600,405363347
2018-01-02,000660,55764981159000,728002365
2018-01-02,000720,4136866669750,111355765
2018-01-02,000810,12578019223500,47374837
2018-01-02,000990,525758809200,44367832
2018-01-02,001450,4197330000000,89400000
2018-01-02,001570,104426221395,42710111
2018-01-02,002380,4032587966000,10556513
2018-01-02,002790,12038894280000,82458180
2018-01-02,003550,15668187494800,172557131
2018-01-02,003670,2392335000000,59070000
2018-01-02,004020,7633098902000,133445785
2018-01-02,004170,2855102490000,9845181
2018-01-02,004990,4826236500000,73683000
2018-01-02,005380,32931333610500,220276479
2018-01-02,005387,3780193432500,37613865
2018-01-02,005490,29556337065000,87186835
2018-01-02,005830,4977240000000,70800000
2018-01-02,005930,329330258194000,129098494
2018-01-02,005935,38271466260000,18250580
2018-01-02,006280,2652844126000,11686538
2018-01-02,006400,14578080360000,68764530
2018-01-02,006800,6156763609920,666316408
2018-01-02,007070,3133900000000,77000000
2018-01-02,008770,3359639157600,39248121
2018-01-02,008930,7099905636000,62279874
2018-01-02,009150,7544063296000,74693696
2018-01-02,009830,5364544635450,164809359
2018-01-02,010130,9425565000000,18870000
2018-01-02,010140,2983500000000,390000000
2018-01-02,010950,13172186664000,112582792
2018-01-02,011070,3431730515000,23667107
2018-01-02,011170,12356288549500,34275419
2018-01-02,011200,1562147193270,311805827
2018-01-02,012330,25017372791000,97343863
2018-01-02,012450,1919900000000,52600000
2018-01-02,015760,24234143906750,641964077
2018-01-02,017670,21437986270500,80745711
2018-01-02,018260,15630315600000,77377800
2018-01-02,021240,7309730421700,74818121
2018-01-02,024110,9183652566000,559978815
2018-01-02,028260,24185480482500,189690043
2018-01-02,029780,4518496749000,115858891
2018-01-02,030200,7846409830400,261111808
2018-01-02,032830,24500000000000,200000000
2018-01-02,033780,15788637155000,137292497
2018-01-02,034730,19911964051000,70360297
2018-01-02,035420,29171970915000,32962679
2018-01-02,035720,9948599205500,67908527
2018-01-02,036570,9795773323000,21939022
2018-01-02,042660,1612192218150,105028809
2018-01-02,047050,2313284043750,123375149
2018-01-02,047810,4717795178800,97475107
2018-01-02,051900,18741836400000,15618197
2018-01-02,051910,29013452973000,70592343
2018-01-02,052690,892437000000,38220000
2018-01-02,055550,23425459597800,474199587
2018-01-02,058470,864242379000,15242370
2018-01-02,064350,1602250000000,85000000
2018-01-02,066570,17919435633000,163647814
2018-01-02,068270,27710345181600,122666424
2018-01-02,069960,2422152643500,23402441
2018-01-02,071050,3845093448000,55725992
2018-01-02,078930,5807211125000,92915378
2018-01-02,086790,15066555855800,296003062
2018-01-02,088350,5949430500000,868530000
2018-01-02,090430,18268278125000,58458490
2018-01-02,093370,947097468250,92399753
2018-01-02,096770,19094138966000,92465564
2018-01-02,097950,4895161882000,13176748
2018-01-02,105560,26382837984700,418111537
2018-01-02,111770,1389164521800,44311468
2018-01-02,120110,2218488342000,25499866
2018-01-02,128940,6608763584000,11163452
2018-01-02,138040,2193297306300,142885818
2018-01-02,139480,7303464578000,27875819
2018-01-02,161390,6813128795000,123875069
2018-01-02,185750,1321971525000,9409050
2018-01-02,207940,25771267500000,66165000
2018-01-02,214370,948606900000,10743000
2018-01-02,241560,3618994892600,100249166
2018-01-02,251270,16027473572500,85026385
2018-01-02,267250,6750802746500,16286617
2018-01-02,267260,1178767936500,10205783
2018-01-02,271560,4230084607000,39533501
2018-01-03,000100,2514000588000,11665896
2018-01-03,000150,2207770345000,19198003
2018-01-03,000270,13214845112200,405363347
2018-01-03,000660,56565783760500,728002365
2018-01-03,000720,4042214269500,111355765
2018-01-03,000810,12578019223500,47374837
2018-01-03,000990,527977200800,44367832
2018-01-03,001450,4094520000000,89400000
2018-01-03,001570,104853322505,42710111
2018-01-03,002380,4011474940000,10556513
2018-01-03,002790,11791519740000,82458180
2018-01-03,003550,15530141790000,172557131
2018-01-03,003670,2330311500000,59070000
2018-01-03,004020,7833267579500,133445785
2018-01-03,004170,2830489537500,9845181
2018-01-03,004990,5113600200000,73683000
2018-01-03,005380,33151610089500,220276479
2018-01-03,005387,3817807297500,37613865
2018-01-03,005490,31169293512500,87186835
2018-01-03,005830,4885200000000,70800000
2018-01-03,005930,333203213014000,129098494
2018-01-03,005935,38143712200000,18250580
2018-01-03,006280,2641157588000,11686538
2018-01-03,006400,14268639975000,68764530
2018-01-03,006800,6223395250720,666316408
2018-01-03,007070,3091550000000,77000000
2018-01-03,008770,3375338406000,39248121
2018-01-03,008930,7131045573000,62279874
2018-01-03,009150,7469369600000,74693696
2018-01-03,009830,5422227911100,164809359
2018-01-03,010130,9199125000000,18870000
2018-01-03,010140,3030300000000,390000000
2018-01-03,010950,12778146892000,112582792
2018-01-03,011070,3479064729000,23667107
2018-01-03,011170,12441977097000,34275419
2018-01-03,011200,1493549911330,311805827
2018-01-03,012330,24968700859500,97343863
2018-01-03,012450,1919900000000,52600000
2018-01-03,015760,24105751091350,641964077
2018-01-03,017670,21155376282000,80745711
2018-01-03,018260,15746382300000,77377800
2018-01-03,021240,7377066730600,74818121
2018-01-03,024110,9211651506750,559978815
2018-01-03,028260,23995790439500,189690043
2018-01-03,029780,4547461471750,115858891
2018-01-03,030200,7768076288000,261111808
2018-01-03,032830,24500000000000,200000000
2018-01-03,033780,15308113415500,137292497
2018-01-03,034730,19700883160000,70360297
2018-01-03,035420,28710493409000,32962679
2018-01-03,035720,10118370523000,67908527
2018-01-03,036570,9543474570000,21939022
2018-01-03,042660,1806495514800,105028809
2018-01-03,047050,2405815405500,123375149
2018-01-03,047810,4776280243000,97475107
2018-01-03,051900,18554418036000,15618197
2018-01-03,051910,28907564458500,70592343
2018-01-03,052690,859950000000,38220000
2018-01-03,055550,23686269370650,474199587
2018-01-03,058470,842903061000,15242370
2018-01-03,064350,1602250000000,85000000
2018-01-03,066570,17919435633000,163647814
2018-01-03,068270,30261806800800,122666424
2018-01-03,069960,2457256305000,23402441
