날짜,종목코드,시가,고가,저가,종가,거래량,거래대금
2018-01-02,000100,219000,220500,215000,217000,30576,6624958000
2018-01-02,000150,114500,115000,112500,113500,61421,6959240000
2018-01-02,000270,33000,33100,32550,32800,972622,31878463750
2018-01-02,000660,77300,77300,76200,76600,2014838,154679174100
2018-01-02,000720,36450,37400,36100,37150,649218,23997147800
2018-01-02,000810,268000,269500,263500,265500,45072,11946802000
2018-01-02,000990,12200,12200,11850,11850,209041,2502331700
2018-01-02,001450,46650,47150,46300,46950,103616,4838371550
2018-01-02,001570,2475,2485,2380,2445,70701,172711485
2018-01-02,002380,381000,385000,377000,382000,11759,4503414500
2018-01-02,002790,143500,146000,142500,146000,55736,8063388000
2018-01-02,003550,90900,91500,89200,90800,175563,15882125100
2018-01-02,003670,40400,40900,39200,40500,731032,29312712350
2018-01-02,004020,58100,58300,57100,57200,350878,20147956400
2018-01-02,004170,299000,302000,288500,290000,46973,13738381000
2018-01-02,004990,65300,65700,64400,65500,162357,10574554000
2018-01-02,005380,150500,153000,149000,149500,731763,110423755000
2018-01-02,005387,101500,101500,99100,100500,120405,12087588900
2018-01-02,005490,335000,341000,332500,339000,153013,51616111000
2018-01-02,005830,71300,72200,69600,70300,67540,4755446000
2018-01-02,005930,2569000,2570000,2539000,2551000,169485,432677351468
2018-01-02,005935,2096000,2097000,2058000,2097000,21940,45532420000
2018-01-02,006280,224000,228000,223000,227000,14657,3310021500
2018-01-02,006400,207500,212500,206500,212000,256209,53909563500
2018-01-02,006800,9220,9300,9150,9240,1950284,18012310010
2018-01-02,007070,40150,41150,40100,40700,126347,5143941750
2018-01-02,008770,86900,87700,85100,85600,247429,21358492800
2018-01-02,008930,112000,115500,109500,114000,125186,13999483000
2018-01-02,009150,100000,101500,99500,101000,450651,45433550800
2018-01-02,009830,32000,32700,31650,32550,1637347,52878548550
2018-01-02,010130,495500,502000,495500,499500,25009,12505736000
2018-01-02,010140,7340,7680,7250,7650,5554598,42078893520
2018-01-02,010950,117000,118000,116500,117000,158674,18573855000
2018-01-02,011070,147000,147000,142000,145000,270085,38895407000
2018-01-02,011170,368000,370000,360500,360500,92533,33566275000
2018-01-02,011200,5110,5190,5000,5010,34200664,153136371290
2018-01-02,012330,262500,263500,256000,257000,181417,46915453500
2018-01-02,012450,36000,36550,35600,36500,355321,12853040250
2018-01-02,015760,37800,38050,37450,37750,1122223,42243593100
2018-01-02,017670,267000,269500,265000,265500,84282,22497122000
2018-01-02,018260,200000,202500,198000,202000,95724,19150767000
2018-01-02,021240,97800,98300,96500,97700,83567,8127267100
2018-01-02,024110,16450,16450,16300,16400,612644,10041511850
2018-01-02,028260,125500,128000,125000,127500,213139,27055498500
2018-01-02,029780,39600,39700,38450,39000,130990,5082496200
2018-01-02,030200,30250,30300,29950,30050,395012,11883507950
2018-01-02,032830,124500,125000,122000,122500,115903,14245222500
2018-01-02,033780,115000,115500,114000,115000,171525,19664547500
2018-01-02,034730,283000,284500,279000,283000,72788,20431541500
2018-01-02,035420,871000,885000,870000,885000,93587,82418272700
2018-01-02,035720,140000,147000,139500,146500,1345951,194162551500
2018-01-02,036570,448000,452500,442000,446500,121955,54450669500
2018-01-02,042660,14000,15400,13950,15350,382063,5619200400
2018-01-02,047050,18200,18850,18050,18750,603839,11193225100
2018-01-02,047810,46500,48850,46100,48400,822845,39212432700
2018-01-02,051900,1195000,1208000,1191000,1200000,14662,17583952000
2018-01-02,051910,407000,415000,406500,411000,153739,63093271500
2018-01-02,052690,23300,23550,23000,23350,166043,3871809400
2018-01-02,055550,49900,50000,49000,49400,533652,26393700750
2018-01-02,058470,56700,57400,55500,56700,40943,2299416100
2018-01-02,064350,18750,19050,18700,18850,65357,1230525850
2018-01-02,066570,106500,111000,105500,109500,948226,103093671000
2018-01-02,068270,223600,227700,222200,225900,1176443,264647210100
2018-01-02,069960,104500,105000,102500,103500,79985,8267471000
2018-01-02,071050,69000,69400,68600,69000,73220,5046910800
2018-01-02,078930,62100,62700,61700,62500,149590,9299038800
2018-01-02,086790,49800,51100,49550,50900,569430,28715150050
2018-01-02,088350,6910,6940,6830,6850,787670,5413118170
2018-01-02,090430,312000,314000,310000,312500,96717,30186243500
2018-01-02,093370,10200,10250,10000,10250,1205673,12211252600
2018-01-02,096770,205500,206500,202000,206500,139383,28624032500
2018-01-02,097950,367500,372500,364500,371500,37993,13988683000
2018-01-02,105560,63900,63900,62400,63100,576658,36400428500
2018-01-02,111770,31500,32100,31150,31350,142080,4459474950
2018-01-02,120110,89200,89800,86500,87000,359517,31428743300
2018-01-02,128940,587000,596000,580000,592000,56430,33178581000
2018-01-02,138040,15150,15350,15000,15350,16263,246228000
2018-01-02,139480,272000,273000,260500,262000,62482,16452018500
2018-01-02,161390,54600,55400,54600,55000,128085,7065915400
2018-01-02,185750,138000,142000,136000,140500,38186,5333082000
2018-01-02,207940,367000,391000,367000,389500,409343,156425815500
2018-01-02,214370,86700,89500,84200,88300,180416,15679172300
2018-01-02,241560,35950,36400,35650,36100,280269,10103756050
2018-01-02,251270,188500,191000,187000,188500,116732,21973030000
2018-01-02,267250,387500,414500,387000,414500,145399,58894891000
2018-01-02,267260,113000,116000,112500,115500,35901,4119144000
2018-01-02,271560,104500,107500,104500,107000,96061,10185778000
2018-01-03,000100,215000,218000,214000,215500,40224,8697092000
2018-01-03,000150,113000,116000,113000,115000,44593,5128349000
2018-01-03,000270,32450,32900,32450,32600,787854,25673394500
2018-01-03,000660,78100,78800,77300,77700,3097644,241244828900
2018-01-03,000720,36650,37000,36200,36300,482518,17566190450
2018-01-03,000810,263500,267500,263500,265500,76640,20298238500
2018-01-03,000990,11850,12150,11850,11900,289367,3465627950
2018-01-03,001450,46300,47050,45750,45800,200746,9257601200
2018-01-03,001570,2450,2465,2420,2455,55818,136181630
2018-01-03,002380,376000,382500,376000,380000,12889,4896466000
2018-01-03,002790,142500,146000,141500,143000,76133,10948124000
2018-01-03,003550,90000,91000,89600,90000,238461,21489971640
2018-01-03,003670,40750,40800,38600,39450,781691,31069186600
2018-01-03,004020,57500,59600,57500,58700,513951,30191976000
2018-01-03,004170,286000,291500,285000,287500,45020,12965377000
2018-01-03,004990,68000,69500,67000,69400,846812,58173003800
2018-01-03,005380,149000,151000,149000,150500,450874,67683231500
2018-01-03,005387,100000,101500,100000,101500,65585,6603779000
2018-01-03,005490,347000,358500,346500,357500,485812,172737696500
2018-01-03,005830,69100,70400,68700,69000,130706,9044021480
