날짜,종목코드,종목명,종가,거래량,시가총액,PER,PBR,상장폐지일,사유
2018-01-02,000030,우리은행,15900,653628,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-01-03,000030,우리은행,15800,1010995,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-01-04,000030,우리은행,15650,1091512,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-01-05,000030,우리은행,15750,1125553,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-01-08,000030,우리은행,16300,2056140,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-01-09,000030,우리은행,16650,2697968,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-01-10,000030,우리은행,16800,2010474,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-01-11,000030,우리은행,16950,1415647,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-01-12,000030,우리은행,17150,1772998,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-01-15,000030,우리은행,16850,1026446,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-01-16,000030,우리은행,16450,1732247,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-01-17,000030,우리은행,16800,1155567,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-01-18,000030,우리은행,16500,993197,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-01-19,000030,우리은행,16750,899960,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-01-22,000030,우리은행,16650,1005548,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-01-23,000030,우리은행,17200,1832801,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-01-24,000030,우리은행,17000,1085777,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-01-25,000030,우리은행,16900,882287,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-01-26,000030,우리은행,17000,707923,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-01-29,000030,우리은행,17050,902555,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-01-30,000030,우리은행,16950,1068680,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-01-31,000030,우리은행,16850,1551995,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-02-01,000030,우리은행,16750,835081,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-02-02,000030,우리은행,16800,819706,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-02-05,000030,우리은행,16800,1193269,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-02-06,000030,우리은행,16150,2024474,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-02-07,000030,우리은행,15600,1720979,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-02-08,000030,우리은행,15550,1352075,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-02-09,000030,우리은행,15200,1689317,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
