구분,종목코드,종목명,순위,점수,보유일,평단가,현재가,수익률%,사유,손절가,트레일가,감시가,트레일폭%,익절가,익절수량,투자금액,수량,실현손익
🔴손절,006800,미래에셋증권,5,67.6,32,42750,36350,-15.0,-15.0% (손절선 -10%),38475,40204,40204,8.0,53438.0,,130500,3.0526,0
🟡매수,034730,SK,1,81.3,0,,590000,,상위10위+외국인매수(1위),531000,,,,,,,,
🟡매수,078930,GS,2,75.8,0,,119300,,상위10위+외국인매수(2위),107370,,,,,,,,
🟡매수,005930,삼성전자,4,69.4,0,,268500,,상위10위+외국인매수(4위),241650,,,,,,,,
🟡매수,004170,신세계,6,67.3,0,,424500,,상위10위+외국인매수(6위),382050,,,,,,,,
🟡매수,088350,한화생명,7,66.5,0,,5520,,상위10위+외국인매수(7위),4968,,,,,,,,
🟡매수,375500,DL이앤씨,8,65.3,0,,70600,,상위10위+외국인매수(8위),63540,,,,,,,,
🟡매수,161390,한국타이어앤테크놀로지,9,64.6,0,,69100,,상위10위+외국인매수(9위),62190,,,,,,,,
🟡매수,000660,SK하이닉스,10,64.5,0,,1662000,,상위10위+외국인매수(10위),1495800,,,,,,,,
🟢유지,267250,HD현대,3,72.6,32,199500,234500,17.5,"3위 유지, 32일",179550,223725,223725,5.0,249375.0,,199200,0.9985,0
